03/16/2023                                                               Dynamic List Display                                                                       1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Order     |Material      |Target qty|    WBS Element|Occ.|Order Type|MRP ctrlr|Plant|Bsc start |System Status                          |Material description       |
|1000897210|1210110A-X3K  |        5 |D-1210110-12209|02  |PP01      |003      |HS01 |01/23/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000888781|1210110A-X3K  |        4 |D-1210110-11889|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000890244|1210110A-X3K  |        1 |D-1210110-11953|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000902259|1210110A-X3K  |        4 |D-1210110-12844|03  |PP01      |003      |HS01 |03/03/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000902260|1210110A-X3K  |        6 |D-1210110-12972|03  |PP01      |003      |HS01 |03/03/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000902284|1210110A-X3K  |        2 |D-1210110-13036|03  |PP01      |003      |HS01 |03/03/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000902978|1210110A-X3K  |        6 |D-1210110-13036|03  |PP01      |003      |HS01 |03/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000903026|1210110A-X3K  |        5 |D-1210110-13100|03  |PP01      |003      |HS01 |03/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|3995372   |1210110A-X3K  |        6 |D-1210110-12908|03  |PR        |003      |HS01 |03/13/2023|                                       |PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000899934|1210110A-X3K  |        2 |D-1210110-12844|03  |PP01      |003      |HS01 |04/04/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000899936|1210110A-X3K  |        2 |D-1210110-12780|03  |PP01      |003      |HS01 |04/04/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
|1000888785|1210110A-X3K  |        1 |D-1210110-12780|03  |PP01      |003      |HS01 |04/13/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 3/4 x 11 1/2 x 3'-1 3/4 |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1000874636|1210110A-X3P  |        2 |D-1210110-10332|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000874639|1210110A-X3P  |       40 |D-1210110-10300|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000874653|1210110A-X3P  |        2 |D-1210110-10332|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000874675|1210110A-X3P  |        2 |D-1210110-10332|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000874679|1210110A-X3P  |       24 |D-1210110-10428|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000874680|1210110A-X3P  |        4 |D-1210110-10332|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000874681|1210110A-X3P  |        6 |D-1210110-10460|01  |PP01      |003      |HS01 |08/01/2022|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888711|1210110A-X3P  |       28 |D-1210110-12241|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
|1000888714|1210110A-X3P  |       40 |D-1210110-11825|02  |PP01      |003      |HS01 |02/08/2023|REL  CNF  DLV  PRC  GMPS MANC NMAT SETC|PL 7/8 x 12 1/2 x 3'-1 3/4 |
